,unit,SH_r2,SI_r2,SL_r2,final_r2,probe,session,SH_rate,SI_rate,SL_rate,total_rate,presence_ratio,amplitude_cutoff,isi_violations,rf_x,rf_y,cell_type,layer
15,56,0.0,0.007956585404282679,0.016884860547126724,0.014506776706681834,probeD,767871931,1.0554668170002193,1.4178346536664637,1.9259077526987243,1.40242102576334,0.99,0.00406011039805303,0.153466038177772,1,1,RS,L56
16,57,0.0,0.0,0.0,0.18794505754072394,probeD,767871931,56.2826897178114,35.86431037984969,18.054874059535493,25.0644003539311,0.99,0.0720706791078777,0.00642611159379477,3,2,FS,L56
17,60,0.0,0.0,0.0,0.031902974070800096,probeD,767871931,9.450656143317987,7.570587040422508,4.508096172718352,6.86091101593294,0.99,3.79680333946271e-06,0.000801522189367241,3,3,RS,L56
18,62,0.007847296408642457,0.0,0.0,0.04702578860897233,probeD,767871931,8.522033261298507,6.7804184440381885,3.31207065750736,5.30165881315702,0.99,0.000132907180615505,0.0,4,3,RS,L56
19,66,0.0,0.0,0.0,0.0,probeD,767871931,10.650192614864231,8.732480195003047,6.039417729800458,8.41009703276453,0.99,0.00012140480959439,0.000533429598903163,3,2,RS,L56
20,73,0.0,0.0,0.0,0.023336413077122663,probeD,767871931,6.047793541921139,4.582571602681292,2.7845927379784103,4.38020015181352,0.99,0.00021783994586473,0.00786595038565766,3,2,RS,L56
21,74,0.0061035689675416945,0.0,0.0,0.04830040682737298,probeD,767871931,7.690500798646999,3.7050578915295556,2.381828590121034,3.37015905415996,0.99,0.0487614345565777,0.18602287605842,1,3,RS,L56
22,75,0.0,0.005378587633624599,0.0,0.10469424654912633,probeD,767871931,7.299007172163238,5.256957139955312,2.191691200523389,3.3234519513783,0.99,0.00190467474574625,0.0,1,3,RS,L56
23,77,0.0,0.0,0.0,0.0320391718228751,probeD,767871931,12.933383444517524,10.895795246800732,6.936947988223749,8.19256675450767,0.99,0.000149695365247171,0.00224853233348607,1,2,RS,L56
24,78,0.0,0.0,0.0,0.03905793864530074,probeD,767871931,16.259513295123558,10.142189721714402,9.819676153091265,12.659940076599,0.99,0.00232577074367089,0.0105932284188604,3,2,RS,L56
25,88,0.0,0.0,0.0,0.011044544432036351,probeD,767871931,2.327038115819475,1.5762746292910828,1.4597644749754661,1.31524785548549,0.99,0.000669679440096957,0.0,2,4,RS,L4
26,89,0.0,0.0,0.0,0.0,probeD,767871931,9.226721788969277,8.484663822872234,5.871769708864901,4.68611154266155,0.99,0.0558812400783922,0.121986628504587,3,1,FS,L4
27,90,0.0,0.0,0.0,0.015242405859075058,probeD,767871931,4.008894735193712,3.3902092220190942,2.2019136408243374,2.9983141453766,0.99,0.0838346286999205,0.2685992711717,4,2,RS,L4
28,94,0.0,0.0,0.0,0.034847135609123205,probeD,767871931,13.742992264085942,11.594556164940078,5.908570493948315,8.32775563173996,0.99,0.001660391199329,0.0440664633319984,2,2,FS,L23
29,102,0.011981905603984466,0.0,0.0,0.08925896238090698,probeD,767871931,6.2873876413292,6.798699979687183,1.4638534510958456,3.30231296089521,0.99,0.0216187067224423,0.0934128084473452,3,2,RS,L23
0,8,0.0,0.0,0.0,0.017461043202506167,probeF,767871931,3.9102383413198036,2.6812918951858626,1.837994766110566,3.36320087093927,0.99,0.0662588933167635,0.146765699919637,1,1,RS,L56
1,9,0.0,0.012267455246298398,0.0,0.016769841679583442,probeF,767871931,5.776879952394376,3.5811497054641483,4.297513902518809,3.63961730838799,0.99,0.000345065550768219,0.0512670784359175,1,5,RS,L56
2,10,0.0,0.008289101890230355,0.007775489581957107,0.013575975324225876,probeF,767871931,5.070625450217671,4.202721917529962,3.3550049067713443,4.48869693325324,0.99,0.0449742738960159,0.117971605276428,3,1,RS,L56
3,25,0.0,0.0,0.0,0.0,probeF,767871931,10.343261611700962,10.763761933780216,7.384690873405299,7.19890675185098,0.99,0.00152448115351994,0.0414972451622717,3,7,RS,L56
4,31,0.0,0.0,0.0,0.0,probeF,767871931,14.829778571204862,10.814543977249645,12.070657507360156,12.3336490949898,0.99,0.0282126032484938,0.0386917995585928,6,4,RS,L56
5,45,0.0,0.0,0.0,0.0,probeF,767871931,13.86044035203107,14.523664432256755,10.437111547268564,11.0615899107074,0.99,0.0526017959726205,0.171441986935022,1,7,RS,L56
6,46,0.0,0.0,0.0,0.0,probeF,767871931,26.78599392401892,25.57586837294333,20.70861956166176,22.2597774563813,0.99,0.0344276867975905,0.0650270034709421,2,7,RS,L56
7,47,0.0,0.0,0.0,0.0,probeF,767871931,31.65774061198284,31.503148486695107,27.11195616617599,26.5746320052668,0.99,0.0161702243713811,0.0381453145392696,1,7,RS,L56
8,52,0.0,0.0,0.0,0.0,probeF,767871931,17.922578220426573,19.770465163518182,14.8286719005561,16.9129413646247,0.99,1.66737973027216e-05,0.00158277968261748,1,7,RS,L56
9,54,0.005779120852586051,0.01977120606894318,0.009395837014989005,0.031861832445859294,probeF,767871931,4.301731967803565,4.180377818403413,1.6805691854759568,3.12312322952806,0.99,0.000928560291293861,0.027076798062526,2,1,RS,L4
10,55,0.0,0.0,0.020950497907154152,0.028878991420749213,probeF,767871931,4.181151930846566,2.3908186065407273,1.815505397448479,1.80556505408511,0.99,0.000724309780347593,0.0347194215379574,2,1,RS,L56
0,8,0.0,0.011208618477474452,0.012663740777947918,0.009357902147277275,probeE,767871931,7.294309248645433,7.5015234613040835,6.85312397775597,6.64578154802711,0.99,0.0745269024086974,0.491194912155857,5,7,RS,L56
1,13,0.013443793883855104,0.0,0.007337493663068751,0.007453455439612666,probeE,767871931,1.4172069278712145,1.3040828762949421,1.4515865227347071,2.44104455460622,0.99,0.00201640726491702,0.132967658226366,3,1,RS,L56
2,16,0.0065102981549286735,0.0,0.0,0.05869987737469871,probeE,767871931,7.505715806946664,4.269754214909608,2.8520608439646713,2.40057857889687,0.99,0.00107789121672077,0.0327352973089207,3,6,RS,L56
3,24,0.0,0.0,0.0,0.07317417951803495,probeE,767871931,4.567947633812522,1.8484663822872234,1.347317631665031,3.77712638443255,0.99,0.0311168910706653,0.0793371068755903,4,7,RS,L56
4,31,0.0,0.0,0.0,0.14410511647467192,probeE,767871931,18.384540699677412,10.68251066422913,5.199133137062479,8.93684027226784,0.99,0.0821667595927444,0.439804660734501,4,7,RS,L56
5,32,0.0,0.0,0.0,0.0,probeE,767871931,1.2809671458548657,1.5478366849482024,1.2778050376185803,1.13989231077777,0.99,0.00414837912816355,0.34844299339193,6,3,RS,L56
6,36,0.0,0.0,0.0,0.0,probeE,767871931,3.8350715650349216,2.756449319520618,3.6862119725220803,7.8826110095713,0.99,0.00538126387459965,0.0139657988650825,7,2,RS,L56
7,37,0.013542011865137149,0.0,0.0,0.018943896435937614,probeE,767871931,5.155188073538163,4.440381880966891,2.770281321557082,2.38688859706486,0.99,0.00103844445347694,0.205293657702856,4,7,RS,L56
8,54,0.0,0.0,0.0,0.0,probeE,767871931,13.169845594913717,10.174690229534837,7.388779849525679,10.6901645630774,0.99,0.000115805775938705,0.00198089112889661,4,4,RS,L56
9,60,0.0,0.0,0.0,0.0,probeE,767871931,16.11074571705973,16.236034938045908,13.47726529277069,12.0473853354384,0.97,6.56564773082389e-05,0.0,4,4,RS,L56
10,61,0.009201950647316815,0.0,0.0,0.0,probeE,767871931,6.7571799931097125,7.8021531586431045,6.2622669283611385,7.72940400701004,0.99,0.041114029228791,0.0738876721116522,2,5,RS,L56
11,62,0.0,0.0,0.0,0.05235442091312159,probeE,767871931,10.373015127313728,7.507617306520415,3.606476938174681,6.10462461913791,0.99,0.0158527993595321,0.114403326881486,6,6,FS,L4
12,64,0.0,0.0,0.0,0.006064109393010453,probeE,767871931,2.9268063515925964,2.7523867560430633,1.7930160287863919,3.41353657283512,0.99,0.0158788858859567,0.126279724185389,1,4,RS,L4
13,65,0.0,0.0,0.0,0.0,probeE,767871931,11.406558301230858,12.8559821247207,10.428933595027805,9.28754539508219,0.99,0.000110880444930164,0.0,2,4,RS,L4
14,69,0.0,0.0,0.013149466392730846,0.06530748650721843,probeE,767871931,10.498293087788532,8.066219784684137,3.53696434412823,5.4105626725808,0.99,0.0295268638284392,0.150792289743717,4,7,FS,L4
15,72,0.012593218331483459,0.0,0.0,0.011049745845648839,probeE,767871931,1.8854333051457925,1.4909607962624418,1.2737160614982008,1.74617731500017,0.99,0.0246641916411285,0.17323254671278,7,5,RS,L4
16,73,0.0,0.0,0.0,0.0,probeE,767871931,1.6066898430893546,2.2100345317895593,1.8768400392541706,2.11097506617101,0.99,0.00871787841624909,0.118533188392014,4,7,RS,L4
17,74,0.0,0.0,0.023438867655846685,0.009667153389485695,probeE,767871931,3.0614801591030103,2.916920576884014,2.3613837095191363,3.42803184771608,0.98,0.00028867617322808,0.0256849325214354,4,6,RS,L4
18,76,0.0,0.0,0.0,0.008103696312449605,probeE,767871931,2.193930282814996,1.7144017875279303,1.3677625122669284,1.71014045106,0.99,0.0601871730268636,0.270915512583638,5,7,RS,L4
19,78,0.06428264220952733,0.012270766840725922,0.0,0.008735742559500336,probeE,767871931,7.566788812678131,9.400771887060737,7.5952731436048415,6.45220923138761,0.99,4.03799078526465e-06,0.0,6,5,FS,L4
20,79,0.0,0.0,0.0,0.0,probeE,767871931,8.825832315449906,6.800731261425961,4.072620215897939,6.03013501211075,0.99,0.000336196201931743,0.00207517182366574,5,5,FS,L4
21,81,0.0,0.0,0.0,0.0,probeE,767871931,12.582605155188075,11.161893154580541,6.859257441936539,9.45162385380417,0.99,0.0659428791048652,0.0240735497968347,4,6,FS,L4
22,84,0.0,0.0,0.0,0.0,probeE,767871931,1.7116101349870025,1.649400771887061,1.0999345763820738,2.7363857803058,0.99,0.0107240253856047,0.0403100628496142,4,3,RS,L4
23,85,0.0,0.0,0.0,0.008100236832911657,probeE,767871931,3.0724419806445553,3.457241519398741,1.9995093228655545,2.2830057937513,0.99,0.0924331630034274,0.318505390865467,6,7,RS,L4
24,86,0.022333161022459747,0.018599806978377088,0.00817551913617871,0.0269741258305924,probeE,767871931,2.8547715243195846,3.010359536867764,1.7889270526660124,2.14570332890665,0.99,0.00762026663874755,0.114727313444845,5,5,RS,L4
25,87,0.029907405208294557,0.031437335909036655,0.051426120067054736,0.04665727324795512,probeE,767871931,4.464593316420809,3.9833434897420275,2.7518809290153747,2.91888531752234,0.99,0.0322540239590248,0.407410203461367,4,6,RS,L4
26,88,0.0,0.0,0.0,0.0,probeE,767871931,2.023239061668076,2.628478569977656,1.3963853451095845,2.02128555284507,0.99,0.000480578031964558,0.0184694001256741,6,5,RS,L4
27,89,0.0,0.0,0.0,0.011541032082594448,probeE,767871931,45.99736916283003,37.0729230144221,24.78737324174027,33.3103429997098,0.99,5.03620717176452e-05,0.00105409953714034,5,7,FS,L4
28,94,0.058111385775517777,0.016616873633110242,0.0,0.09060197041221715,probeE,767871931,9.976823577312162,9.559211862685355,3.2793588485443244,5.79790862912203,0.99,0.0747114986645742,0.489352592675011,4,7,RS,L23
