unit,area LFPs,behavior,c50_dg,cell_type,full model,layer,lifetime_sparseness_dg,max_state,mod_idx_dg,"other area
population activity",pref_ori_dg,pref_tf_dg,probe,rf_area,rf_x,rf_y,run_mod_dg,run_pval_dg,session,stimulus,total_rate,wf_duration,label,cluster_name,n_sources
7.0,0.0,0.1976944237544634,[0.21436471],['RS'],0.3399625669347931,['L56'],[0.26470845],0.0,[0.51533533],0.2724298438588857,[45.],[2.],0.16666666666666666,[300.],[1],[2],[0.68219178],[2.26767885e-11],767871931.0,0.07380798836429545,[5.35410364],[0.81038526],7,stimulus+behavior,2
26.0,0.0,0.02172356516484335,[0.19725098],['RS'],0.6466698574270944,['L56'],[0.2238083],0.0,[1.78294595],0.16502411752110496,[45.],[2.],0.16666666666666666,[700.],[3],[4],[0.11692713],[0.48809741],767871931.0,0.6365595498570948,[2.89251853],[0.6318258],8,stimulus+population,2
29.0,0.0,0.3447483066161287,[1.04865882],['RS'],0.3913815741250388,['L56'],[0.41649132],0.0,[1.16463947],0.09029013532293657,[90.],[2.],0.16666666666666666,[800.],[5],[2],[-0.97626374],[4.21114789e-10],767871931.0,0.08264117321192085,[3.01079622],[0.6318258],8,stimulus+population,1
30.0,0.010495392397538472,0.0400768295884167,[0.13307451],['RS'],0.1300061064050809,['L56'],[0.64827259],0.0,[0.53938141],0.08112584839621848,[0.],[2.],0.16666666666666666,[700.],[3],[3],[0.13615689],[0.00053863],767871931.0,0.06157328655383112,[4.9319278],[0.70050251],8,stimulus+population,0
34.0,0.0,0.05539529929917888,[0.50529804],['RS'],0.4311954141286775,['L56'],[0.69211701],0.0,[1.62500006],0.15568093998507207,[45.],[2.],0.16666666666666666,[500.],[4],[1],[0.36226719],[2.38744788e-13],767871931.0,0.32611756136634196,[3.35304654],[0.67303183],8,stimulus+population,2
35.0,0.0,0.0907958870517386,[0.03467059],['FS'],0.49038398453686727,['L56'],[0.38740516],0.0,[0.03967693],0.27398711481581095,[90.],[2.],0.16666666666666666,[500.],[2],[2],[0.10291902],[0.10404052],767871931.0,0.3935277221889516,[5.96129598],[0.21976549],8,stimulus+population,2
36.0,0.006362584130462201,0.13030620027949566,[0.18869412],['RS'],0.25351341814163314,['L56'],[0.29478637],0.0,[0.52459457],0.11702398417048332,[135.],[2.],0.16666666666666666,[500.],[3],[4],[0.27412646],[4.03701692e-09],767871931.0,0.06991182479145808,[4.8643837],[0.67303183],7,stimulus+behavior,2
50.0,0.0,0.07383980401499804,[0.03039216],['RS'],0.35894616391408246,['L56'],[0.3918085],0.0,[1.04973954],0.10370579818195577,[45.],[2.],0.16666666666666666,[900.],[3],[2],[0.25356522],[0.32866177],767871931.0,0.260322556039811,[4.33872747],[0.71423786],8,stimulus+population,2
52.0,0.0,0.058750804282902025,[0.07317647],['RS'],0.10709538762609891,['L56'],[0.25751704],0.0,[1.69352153],0.05181932209029592,[90.],[2.],0.16666666666666666,[600.],[4],[2],[-0.32239705],[0.10339688],767871931.0,0.021736290645634204,[2.4645043],[0.64556114],1,unexplained,0
53.0,0.0,0.08154013558037851,[0.14163137],['RS'],0.43531892840799724,['L56'],[0.13626714],0.3333333333333333,[0.08166941],0.07486633515278796,[45.],[2.],0.16666666666666666,[1100.],[3],[6],[0.46815953],[3.5219413e-10],767871931.0,0.3844877686973726,[2.45061297],[0.79664992],4,stimulus2,1
54.0,0.008264815596664343,0.36012864232135283,[0.08173333],['FS'],0.5097141976936574,['L56'],[0.81081736],0.0,[6.36580068],0.41737354073829885,[90.],[2.],0.16666666666666666,[100.],[3],[2],[0.52755591],[1.07739571e-14],767871931.0,0.15084240715181216,[12.78908924],[0.23350084],5,multisource1,3
56.0,0.0,0.012273801712859167,[nan],['RS'],0.11670895614870455,['L56'],[0.23518448],0.0,[2.28379935],0.007351518654873557,[135.],[2.],0.16666666666666666,[300.],[1],[1],[-0.22943723],[0.15439111],767871931.0,0.09475941424188612,[1.40242103],[0.64556114],2,unexplained,0
57.0,0.0,0.12830276436607882,[0.03467059],['FS'],0.4454122495929382,['L56'],[0.42675876],0.3333333333333333,[0.86560052],0.2106814047607073,[45.],[2.],0.16666666666666666,[400.],[3],[2],[0.56616133],[4.20516192e-22],767871931.0,0.24259245377005745,[25.06440035],[0.28844221],5,multisource1,3
60.0,0.0,0.02467885100412979,[0.20580784],['RS'],0.5297317799744153,['L56'],[0.47019281],0.3333333333333333,[0.58238172],0.13586058724110123,[0.],[2.],0.16666666666666666,[1100.],[3],[3],[0.27023148],[1.94040021e-09],767871931.0,0.5325685222010936,[6.86091102],[0.59061977],8,stimulus+population,2
62.0,0.007847296408642457,0.027644941670986543,[0.74061176],['RS'],0.47963593538224564,['L56'],[0.14067968],0.0,[0.63864917],0.11172329459509933,[0.],[2.],0.16666666666666666,[1100.],[4],[3],[0.41176471],[4.70745551e-06],767871931.0,0.4429857343238318,[5.30165881],[0.56314908],8,stimulus+population,2
66.0,0.0,0.03006796815441968,[0.39405882],['RS'],0.25920031704121044,['L56'],[0.1617465],0.3333333333333333,[0.17427389],0.11330591822423144,[45.],[2.],0.16666666666666666,[600.],[3],[2],[0.45430172],[4.57896132e-09],767871931.0,0.22287138927937047,[8.41009703],[0.60435511],8,stimulus+population,2
